B0_400,B400_800,B800_1200,B1200_1600,B1600_2000,B2000_2400,B2400_2800,B2800_3200,B3200_3600,B3600_4000
0,7057.89613234619,7123.67089328763,7126.38661019589,7127.26523776681,7127.57491519633,7127.72470229312,7127.74397209052,7127.7409589576,7127.71649399202
7057.89613234619,0,308.701282607691,335.915690277458,323.717194124818,312.555495159663,313.624953934557,311.99847970327,310.156139214776,309.939239313693
7123.67089328763,308.701282607691,0,152.955167324426,161.697545639932,137.940233315713,140.337304111493,136.671799175398,132.411698249512,131.971716235966
7126.38661019589,335.915690277458,152.955167324426,0,113.172668601424,135.623866976694,138.072613276295,134.347813104369,130.012186570386,129.563919714488
7127.26523776681,323.717194124818,161.697545639932,113.172668601424,0,92.3873205875074,104.974091100079,100.027304047992,94.1241265877381,93.5131116354845
7127.57491519633,312.555495159663,137.940233315713,135.623866976694,92.3873205875074,0,52.4907513819191,53.6317446059303,41.6025994758748,40.2225621909538
7127.72470229312,313.624953934557,140.337304111493,138.072613276295,104.974091100079,52.4907513819191,0,44.1448790862016,48.9477109599051,47.7751738260664
7127.74397209052,311.99847970327,136.671799175398,134.347813104369,100.027304047992,53.6317446059303,44.1448790862016,0,33.7640831338558,34.8175100151627
7127.7409589576,310.156139214776,132.411698249512,130.012186570386,94.1241265877381,41.6025994758748,48.9477109599051,33.7640831338558,0,8.77661939067649
7127.71649399202,309.939239313693,131.971716235966,129.563919714488,93.5131116354845,40.2225621909538,47.7751738260664,34.8175100151627,8.77661939067649,0
