B0_400,B400_800,B800_1200,B1200_1600,B1600_2000,B2000_2400,B2400_2800,B2800_3200,B3200_3600,B3600_4000
0,13976.3679176728,14018.8620379046,14020.3940978811,14020.7427862082,14020.8436516184,14020.9153809812,14020.9129713554,14020.9171529209,14020.9056020395
13976.3679176728,0,344.636809159566,366.921338556469,362.298437805593,351.914901558917,353.494429790853,350.185533331953,348.876127832624,348.821406445707
14018.8620379046,344.636809159566,0,165.113158898835,170.850669870356,147.462559526618,151.18320739923,143.284527202521,140.051652713072,139.97593688038
14020.3940978811,366.921338556469,165.113158898835,0,87.2205409197586,122.914744891126,127.36901258084,117.889354657256,113.938394563823,113.855632258053
14020.7427862082,362.298437805593,170.850669870356,87.2205409197586,0,102.550045249942,113.398393635277,102.641430582965,98.0787653027433,97.9874360237984
14020.8436516184,351.914901558917,147.462559526618,122.914744891126,102.550045249942,0,51.1479764255831,55.5009925075751,46.5299157572115,46.3550583392171
14020.9153809812,353.494429790853,151.18320739923,127.36901258084,113.398393635277,51.1479764255831,0,52.112770298262,57.2231849156395,57.0754299490667
14020.9129713554,350.185533331953,143.284527202521,117.889354657256,102.641430582965,55.5009925075751,52.112770298262,0,30.242426021303,30.3678988743161
14020.9171529209,348.876127832624,140.051652713072,113.938394563823,98.0787653027433,46.5299157572115,57.2231849156395,30.242426021303,0,3.22635387761356
14020.9056020395,348.821406445707,139.97593688038,113.855632258053,97.9874360237984,46.3550583392171,57.0754299490667,30.3678988743161,3.22635387761356,0
