B0_400,B400_800,B800_1200,B1200_1600,B1600_2000,B2000_2400,B2400_2800,B2800_3200,B3200_3600,B3600_4000
0,10434.7911656186,10475.1765854514,10476.1763131627,10476.3894848181,10476.4839090871,10476.5479461382,10476.5895792747,10476.6089269635,10476.5752642812
10434.7911656186,0,931.020981166673,946.057060802698,946.560331433141,946.351119236339,946.349353803322,946.113571407718,946.171781264345,945.929845670829
10475.1765854514,931.020981166673,0,198.926476818661,205.807126197115,204.23022488039,204.122110941364,202.911209860269,203.141752913583,202.28709302068
10476.1763131627,946.057060802698,198.926476818661,0,48.6538641075803,47.1265029497234,46.6268745553131,40.8693328550841,41.9507379540082,37.7314993323853
10476.3894848181,946.560331433141,205.807126197115,48.6538641075803,0,43.6107341872633,53.6968917028775,48.8997147845672,49.8304389838898,46.3258759645398
10476.4839090871,946.351119236339,204.23022488039,47.1265029497234,43.6107341872633,0,39.1426913767161,40.882541308704,42.0551087830256,37.8456520169188
10476.5479461382,946.349353803322,204.122110941364,46.6268745553131,53.6968917028775,39.1426913767161,0,36.5370368132883,41.1565327252831,36.8701663822732
10476.5895792747,946.113571407718,202.911209860269,40.8693328550841,48.8997147845672,40.882541308704,36.5370368132883,0,28.3316869286936,27.5679480005226
10476.6089269635,946.171781264345,203.141752913583,41.9507379540082,49.8304389838898,42.0551087830256,41.1565327252831,28.3316869286936,0,15.5562867094843
10476.5752642812,945.929845670829,202.28709302068,37.7314993323853,46.3258759645398,37.8456520169188,36.8701663822732,27.5679480005226,15.5562867094843,0
