B0_400,B400_800,B800_1200,B1200_1600,B1600_2000,B2000_2400,B2400_2800,B2800_3200,B3200_3600,B3600_4000
0,100.744728430045,72.2751548880877,70.3540143359734,69.7374640926725,68.7061844078529,70.504757627453,70.6126249451321,68.6522489943389,68.8174883956727
100.744728430045,0,79.0649840058799,79.5163684209776,78.9636260236942,78.0567995146741,79.6448498113509,79.7401549081612,78.0090394531206,78.1545474716445
72.2751548880877,79.0649840058799,0,23.6235034544681,31.9598745575775,29.6238813923683,33.5842304687197,33.8114579296089,29.4972348672918,29.8937244735726
70.3540143359734,79.5163684209776,23.6235034544681,0,23.7348549859213,24.53134109403,29.1921273264904,29.4536455114281,24.3801993618554,24.8597269280117
69.7374640926725,78.9636260236942,31.9598745575775,23.7348549859213,0,16.8912529384667,27.6647815188206,27.942259189414,22.5318319222018,23.0500644514205
68.7061844078529,78.0567995146741,29.6238813923683,24.53134109403,16.8912529384667,0,22.3655018706904,25.2245461022973,19.061177001924,19.6714956293784
70.504757627453,79.6448498113509,33.5842304687197,29.1921273264904,27.6647815188206,22.3655018706904,0,23.9312030142153,24.7703570043862,25.2399303490149
70.6126249451321,79.7401549081612,33.8114579296089,29.4536455114281,27.942259189414,25.2245461022973,23.9312030142153,0,21.5638596965563,24.8369540320836
68.6522489943389,78.0090394531206,29.4972348672918,24.3801993618554,22.5318319222018,19.061177001924,24.7703570043862,21.5638596965563,0,13.0497695240981
68.8174883956727,78.1545474716445,29.8937244735726,24.8597269280117,23.0500644514205,19.6714956293784,25.2399303490149,24.8369540320836,13.0497695240981,0
