B0_400,B400_800,B800_1200,B1200_1600,B1600_2000,B2000_2400,B2400_2800,B2800_3200,B3200_3600,B3600_4000
0,179.032259248913,100.798260264628,93.0669609093143,93.8109172198347,94.6594654124049,101.741666876349,98.6496820995869,94.1078509954052,93.1740928599325
179.032259248913,0,156.581274493746,161.407295521718,161.826827140434,162.331909913554,166.56521216642,164.69460454564,162.01305083876,161.47049414189
100.798260264628,156.581274493746,0,42.1950594167837,44.7180991818703,46.4578921362095,59.5788702537044,54.1303580128563,45.3214577580829,43.3610200013283
93.0669609093143,161.407295521718,42.1950594167837,0,18.2011023955134,25.5770098989587,45.2271320207309,37.7623440722944,23.4510495414969,19.4020788068346
93.8109172198347,161.826827140434,44.7180991818703,18.2011023955134,0,22.3043400937507,46.7341126787188,39.5591494863975,26.2496175777034,22.7046589933212
94.6594654124049,162.331909913554,46.4578921362095,25.5770098989587,22.3043400937507,0,41.6849821594687,41.4972797157824,29.0984206848971,25.9447758163887
101.741666876349,166.56521216642,59.5788702537044,45.2271320207309,46.7341126787188,41.6849821594687,0,40.412299023957,47.3057729872233,45.4266305812496
98.6496820995869,164.69460454564,54.1303580128563,37.7623440722944,39.5591494863975,41.4972797157824,40.412299023957,0,37.3904229001027,37.2770414010341
94.1078509954052,162.01305083876,45.3214577580829,23.4510495414969,26.2496175777034,29.0984206848971,47.3057729872233,37.3904229001027,0,11.4976093761856
93.1740928599325,161.47049414189,43.3610200013283,19.4020788068346,22.7046589933212,25.9447758163887,45.4266305812496,37.2770414010341,11.4976093761856,0
